"territory","id_indicator","period","territory.ccube.0","territory.ccube.1","territory.ccube.2","territory.ccube.attr.0","value"
"80000000","819","31 Aug 2018 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Башкортостан","3","4201"
"80000000","819","31 Aug 2019 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Башкортостан","3","3855"
"88000000","819","31 Aug 2015 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Марий Эл","3","723"
"88000000","819","31 Aug 2016 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Марий Эл","3","800"
"88000000","819","31 Aug 2017 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Марий Эл","3","680"
"88000000","819","31 Aug 2018 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Марий Эл","3","717"
"88000000","819","31 Aug 2019 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Марий Эл","3","565"
"89000000","819","31 Aug 2015 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Мордовия","3","821"
"89000000","819","31 Aug 2016 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Мордовия","3","908"
"89000000","819","31 Aug 2017 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Мордовия","3","898"
